group,n,named_slot_count,positive,provider,rate,wilson95_hi,wilson95_lo
anthropic_dose_0,48,0,0,anthropic,0.0,0.07410012966611748,6.938893903907228e-18
anthropic_dose_1,48,1,0,anthropic,0.0,0.07410012966611748,6.938893903907228e-18
anthropic_dose_2,48,2,0,anthropic,0.0,0.07410012966611748,6.938893903907228e-18
anthropic_dose_4,48,4,0,anthropic,0.0,0.07410012966611748,6.938893903907228e-18
anthropic_dose_8,48,8,0,anthropic,0.0,0.07410012966611748,6.938893903907228e-18
openai_dose_0,48,0,0,openai,0.0,0.07410012966611748,6.938893903907228e-18
openai_dose_1,48,1,0,openai,0.0,0.07410012966611748,6.938893903907228e-18
openai_dose_2,48,2,0,openai,0.0,0.07410012966611748,6.938893903907228e-18
openai_dose_4,48,4,3,openai,0.0625,0.1683543805494635,0.021483232908389285
openai_dose_8,48,8,20,openai,0.4166666666666667,0.5571866771602373,0.2884966777841157
xai_dose_0,48,0,0,xai,0.0,0.07410012966611748,6.938893903907228e-18
xai_dose_1,48,1,0,xai,0.0,0.07410012966611748,6.938893903907228e-18
xai_dose_2,48,2,0,xai,0.0,0.07410012966611748,6.938893903907228e-18
xai_dose_4,48,4,1,xai,0.020833333333333332,0.10899217995251861,0.003687110977510649
xai_dose_8,48,8,0,xai,0.0,0.07410012966611748,6.938893903907228e-18
